"Campaign","Negative Keyword","Match Type","Reason"
"DE_Search_Teilehandel_Beratung","jobs","Phrase","Arbeitsmarkt"
"DE_Search_Teilehandel_Beratung","ausbildung","Phrase","Arbeitsmarkt"
"DE_Search_Teilehandel_Beratung","praktikum","Phrase","Arbeitsmarkt"
"DE_Search_Teilehandel_Beratung","gehalt","Phrase","Arbeitsmarkt"
"DE_Search_Teilehandel_Beratung","stellenangebote","Phrase","Arbeitsmarkt"
"DE_Search_Teilehandel_Beratung","autoteile kaufen","Phrase","Private Teilekäufer"
"DE_Search_Teilehandel_Beratung","ersatzteile kaufen","Phrase","Private Teilekäufer"
"DE_Search_Teilehandel_Beratung","gebrauchtteile kaufen","Phrase","Private Teilekäufer"
"DE_Search_Teilehandel_Beratung","bremsen kaufen","Phrase","Private Teilekäufer"
"DE_Search_Teilehandel_Beratung","kostenlos","Phrase","Kostenlose Hilfsangebote"
"DE_Search_Teilehandel_Beratung","gratis","Phrase","Kostenlose Hilfsangebote"
"DE_Search_Teilehandel_Beratung","open source","Phrase","Kostenlose Hilfsangebote"
"DE_Search_Teilehandel_Beratung","crack","Phrase","Kostenlose Hilfsangebote"
"DE_Search_Teilehandel_Beratung","excel vorlage","Phrase","Kostenlose Hilfsangebote"
"DE_Search_Teilehandel_Beratung","fahrzeughistorie","Phrase","Fahrzeughistorie statt Branchensoftware"
"DE_Search_Teilehandel_Beratung","unfallhistorie","Phrase","Fahrzeughistorie statt Branchensoftware"
"DE_Search_Teilehandel_Beratung","vin decoder kostenlos","Phrase","Fahrzeughistorie statt Branchensoftware"
"DE_Search_Teilehandel_Beratung","gastronomie","Phrase","Andere Kassenbranchen"
"DE_Search_Teilehandel_Beratung","friseur","Phrase","Andere Kassenbranchen"
"DE_Search_Teilehandel_Beratung","imbiss","Phrase","Andere Kassenbranchen"
"DE_Search_Teilehandel_Beratung","autoteile","Exact","Unqualifizierte Einwortsuche"
"DE_Search_Teilehandel_Beratung","ersatzteile","Exact","Unqualifizierte Einwortsuche"
"DE_Search_Teilehandel_Beratung","vin decoder","Exact","Unqualifizierte Einwortsuche"
"DE_Search_Teilehandel_Beratung","oe nummer","Exact","Unqualifizierte Einwortsuche"
